"year","latitude","longitude","elevation","avg_temp"
"1990",36.5625,-117.4736,2097,68.1333333333333
"1990",36.5672,-118.9556,1240.2,72.0333333333333
"1990",36.5927,-121.8555,37.2,61.6333333333333
"1990",36.6044,-118.7325,2052.8,57.8
"1990",36.61667,-119.3,131.1,79.9
"1990",36.6594,-121.6663,13.7,62.7333333333333
"1990",36.66352,-121.60928,22.3,63.7333333333333
"1990",36.7269,-120.7658,619.4,77.0333333333333
"1990",36.73751,-118.96197,2005.6,61.3
"1990",36.77999,-119.72016,101.9,80.4666666666667
"1990",36.798,-118.2036,1204,78.8
"1990",36.8483,-121.4213,83.8,65.5333333333333
"1990",36.8839,-119.4658,280.4,82.7666666666667
"1990",36.9092,-119.0883,528.8,79.3666666666667
"1990",36.9308,-121.7691,29,62.8
"1990",36.9539,-120.0378,82.3,78.2666666666667
"1990",36.98785,-121.99952,21.3,64.5
"1990",36.98972,-120.92972,124.1,77.7666666666667
"1990",36.9911,-121.7978,137.2,57.7
"1990",36.99574,-119.70691,131.1,78.5666666666667
"1990",37.003,-121.5608,59.1,71.5333333333333
"1990",37.05333,-121.05778,84.4,77.1333333333333
"1990",37.0547,-121.0531,106.7,76.0666666666667
"1990",37.0563,-120.8666,36.6,77.5666666666667
"1990",37.08689,-122.08221,132.6,67.8666666666667
"1990",37.0919,-119.5128,637,78.3333333333333
"1990",37.2275,-119.22056,2139.7,60.2
"1990",37.2319,-121.9592,111.3,69.8
"1990",37.2329,-119.5097,806.2,72.1
"1990",37.2811,-121.0177,27.4,79.1
"1990",37.2888,-120.5158,46.9,77.7333333333333
"1990",37.3053,-122.255,265.8,61.2
"1990",37.31167,-122.36167,83.8,61.2666666666667
"1990",37.34336,-121.63473,1286.3,67.4333333333333
"1990",37.34972,-121.90333,20.4,70.3333333333333
"1990",37.37114,-118.35886,1252.8,74.2333333333333
"1990",37.3738,-117.9802,1592.6,73.1333333333333
"1990",37.4058,-122.0481,11.9,68.7333333333333
"1990",37.4094,-119.7681,937.9,74.4666666666667
"1990",37.4286,-122.2561,115.8,66.1
"1990",37.4436,-122.1402,7.6,66.95
"1990",37.4725,-122.4433,8.2,59.95
"1990",37.4767,-122.2386,9.4,68.7
"1990",37.50193,-120.84566,31.4,76.8666666666667
"1990",37.5042,-119.9869,680,69.2666666666667
"1990",37.5122,-119.6331,1538.3,61.1
"1990",37.5147,-122.0325,3,66.4666666666667
"1990",37.59167,-122.47167,144.8,62.9
"1990",37.61962,-122.36562,3.2,64.3333333333333
"1990",37.62544,-120.95492,26.5,76.3333333333333
"1990",37.6819,-121.3466,41.1,74.6
"1990",37.68194,-121.75139,161.2,72.0333333333333
"1990",37.7119,-121.8136,243.8,69.6
"1990",37.728,-122.5052,2.4,60.1
"1990",37.75027,-119.58972,1224.7,70.3
"1990",37.7705,-122.4269,45.7,63.4666666666667
"1990",37.78333,-122.31667,9.1,65.2
"1990",37.7983,-122.2642,9.1,66.75
"1990",37.8331,-120.5,310.9,75.4
"1990",37.8744,-122.2605,94.5,62.9
"1990",37.8792,-121.9303,661.4,70.0333333333333
"1990",37.88997,-121.22637,8.3,76.6
"1990",37.9191,-122.3772,6.1,65.0666666666667
"1990",37.95,-120.53333,236.2,75.7666666666667
"1990",37.9566,-122.5447,44.2,69.1333333333333
"1990",37.9567,-119.1194,2071.7,65.4333333333333
"1990",37.9613,-119.783,1179.6,68.9666666666667
"1990",37.9672,-120.3872,510.5,73.9
"1990",37.9747,-119.9161,1452.4,68.3333333333333
"1990",37.9833,-121.7525,18.3,75.2
"1990",37.9983,-122.5372,36.6,67.9
"1990",37.9994,-121.3177,3.7,73.8666666666667
"1990",38.0131,-122.1142,12.2,70.9
"1990",38.07,-119.23,2878.8,50.4333333333333
"1990",38.1061,-121.2877,12.2,72.2666666666667
"1990",38.2119,-119.0142,2551.2,54.5333333333333
"1990",38.2428,-120.515,780,68.05
"1990",38.2486,-120.8433,200.6,76.5666666666667
"1990",38.2575,-119.2286,1972.1,59
"1990",38.2577,-122.6077,6.1,67.25
"1990",38.2736,-122.0677,12.2,72.5333333333333
"1990",38.2769,-120.3113,1431,63.9333333333333
"1990",38.2777,-122.2647,10.7,68.4
"1990",38.28,-119.61,2931.3,49.0333333333333
"1990",38.2994,-122.4622,29.6,70.4666666666667
"1990",38.3,-119.55,2194,53.6666666666667
"1990",38.31,-119.6,2690.5,55.2
"1990",38.33056,-120.67056,217.9,75.9
"1990",38.3894,-120.6511,902.2,71.6
"1990",38.39556,-121.96083,33.5,76.3
"1990",38.4305,-122.8647,61,66.5666666666667
"1990",38.44,-119.37,2814.2,53.6333333333333
"1990",38.44611,-120.49917,717.8,70.3666666666667
"1990",38.45579,-122.71335,50.6,67.2333333333333
"1990",38.4916,-122.1241,146.3,74.3666666666667
"1990",38.492,-122.0039,57,76.0666666666667
"1990",38.50056,-120.21889,1127.8,71.8666666666667
"1990",38.50659,-121.49604,5.9,75.5666666666667
"1990",38.5066,-122.4713,68.6,71.3666666666667
"1990",38.51,-119.63,2357.9,56.1
"1990",38.515,-123.2447,34.1,57.2
"1990",38.5252,-121.9777,41.1,78.0333333333333
"1990",38.5349,-121.7761,18.3,74.4666666666667
"1990",38.55,-119.8,2671.6,53.7
"1990",38.5552,-121.4183,11.6,77.0333333333333
"1990",38.573,-122.4405,522.7,68.6333333333333
"1990",38.57682,-122.57811,106.7,72.7666666666667
"1990",38.5908,-120.9336,275.8,72.6333333333333
"1990",38.61,-119.92,2455.8,55.6
"1990",38.62935,-122.86646,53.9,69.8
"1990",38.67,-119.82,1863.9,63.15
"1990",38.67,-119.61,2532.9,56.7
"1990",38.6829,-121.794,20.4,76.7333333333333
"1990",38.6955,-120.8244,563.9,73.2333333333333
"1990",38.7,-121.16667,106.7,76.8
"1990",38.70861,-120.04028,2438.4,55.1
"1990",38.71611,-122.9975,68.3,69.2666666666667
"1990",38.7333,-120.245,1597.2,65.7
"1990",38.73333,-120.73333,839.7,74.7666666666667
"1990",38.7383,-122.1447,107.9,78.2
"1990",38.78333,-120.03333,2240.3,58.0333333333333
"1990",38.78333,-119.8,1722.1,64.7
"1990",38.85,-120.08,2337.8,59.5666666666667
"1990",38.85,-119.94,2370.1,54.2
"1990",38.8619,-122.4172,670.6,72.1
"1990",38.89838,-119.99617,1907,58.8333333333333
"1990",38.9056,-120.6972,1426.5,72.1333333333333
"1990",38.9072,-121.0838,393.8,73
"1990",38.9238,-122.5672,411.2,71.2666666666667
"1990",38.933,-120.8008,914.7,71.0333333333333
"1990",38.9875,-123.3486,196.3,68.4666666666667
"1990",39,-120.13,2343.6,58.7
"1990",39.0717,-120.4217,1597.2,66.1333333333333
"1990",39.0901,-120.947,723.3,74
"1990",39.1258,-123.0736,975.4,69.4
"1990",39.14,-120.22,2028.4,56.8
"1990",39.1458,-121.5852,17.4,78.3666666666667
"1990",39.1466,-123.2102,193.9,71.4333333333333
"1990",39.1678,-120.1428,1898.9,59.1
"1990",39.1875,-122.0269,15.2,74.2666666666667
"1990",39.2041,-121.068,731.5,69.1
"1990",39.2466,-121.0008,847.6,69.7
"1990",39.27617,-120.70927,1611.2,65.3
"1990",39.3,-120.83333,1357.9,69.2
"1990",39.3,-120.18,1983.9,61.7
"1990",39.3036,-121.1172,617.2,78.0333333333333
"1990",39.31833,-120.63917,1571.5,61.5
"1990",39.3239,-120.2331,1809.6,57.45
"1990",39.33,-120.37,2089.4,57.4333333333333
"1990",39.333,-120.173,1774.9,60.0666666666667
"1990",39.3528,-123.6011,180.7,62.5666666666667
"1990",39.3575,-121.2011,499.9,72.9
"1990",39.35917,-122.51778,367.3,75.1666666666667
"1990",39.3619,-123.1286,310.3,70.2333333333333
"1990",39.3886,-120.0936,1699.3,57.3666666666667
"1990",39.3975,-121.3861,244.8,73.9333333333333
"1990",39.4194,-123.3425,412.4,64.7666666666667
"1990",39.43167,-120.24056,1931.5,56.0333333333333
"1990",39.45,-120.29,2134.5,55.2
"1990",39.4539,-120.6556,1641.3,58.8
"1990",39.475,-121.2025,1132,66.8666666666667
"1990",39.51,-123.75639,37.5,59.1
"1990",39.5177,-121.553,52.1,74.2666666666667
"1990",39.52316,-122.3048,71.3,74.9
"1990",39.53194,-121.1611,1130.8,64.7333333333333
"1990",39.5633,-120.8238,888.5,66.7333333333333
"1990",39.56778,-120.62278,1292.4,66.7333333333333
"1990",39.5833,-120.3705,1516.4,64.4
"1990",39.5861,-122.5341,243.8,76.8666666666667
"1990",39.6911,-121.8211,56.4,76.4
"1990",39.7119,-121.7789,70.1,75.8
"1990",39.7458,-122.1997,77.4,77.2
"1990",39.7538,-121.6241,533.4,75.6333333333333
"1990",39.8053,-120.4719,1478.3,59.1
"1990",39.8158,-123.2444,430.7,71.0666666666667
"1990",39.8644,-122.6097,317,75.8333333333333
"1990",39.8716,-121.6108,826,69.1
"1990",39.8717,-121.7689,528.2,79.1
"1990",39.9366,-120.9475,1042.4,70.3
"1990",39.9717,-120.0828,1338.1,66.6333333333333
"1990",39.9733,-120.9419,1066.8,67.6333333333333
"1990",40.0222,-120.1056,1292.4,69.1333333333333
"1990",40.02611,-123.79306,153.3,68.6333333333333
"1990",40.03306,-124.07278,75,59.8
"1990",40.0789,-121.5039,1511.8,62.1666666666667
"1990",40.15186,-122.25478,108,80.0666666666667
"1990",40.1705,-121.0886,1389.9,59.2666666666667
"1990",40.2461,-120.6422,1737.4,63.2666666666667
"1990",40.2569,-124.2661,899.2,63.2666666666667
"1990",40.2789,-122.4869,213.4,73.25
"1990",40.30209,-121.24391,1387.1,62.7
"1990",40.3067,-120.9,1767.8,57.7
"1990",40.3442,-121.7136,1267.7,67.7
"1990",40.3458,-121.6091,1485.9,59.3333333333333
"1990",40.3636,-122.965,838.2,70.1
"1990",40.4167,-120.6631,1283.8,65
"1990",40.4833,-124.1038,41.5,61.7333333333333
"1990",40.4863,-123.9088,125.9,63.3
"1990",40.51462,-122.29773,152.6,79.4333333333333
"1990",40.54,-121.5803,1725.2,59.9
"1990",40.5411,-121.5766,1752.6,57.7666666666667
"1990",40.6116,-122.528,394.7,76.9
"1990",40.6194,-121.8994,736.7,74.5666666666667
"1990",40.7141,-122.4161,327.7,78.2666666666667
"1990",40.7263,-122.7947,567.2,69.5666666666667
"1990",40.7333,-123.2333,457.2,72.7333333333333
"1990",40.73529,-122.9441,627.3,69.6666666666667
"1990",40.7817,-120.7844,1877,58.3
"1990",40.8072,-121.2967,1752.6,63.5666666666667
"1990",40.8097,-124.1602,6.1,59.4666666666667
"1990",40.86667,-120.43333,1615.4,61.3
"1990",40.8802,-121.6547,974.8,62.5
"1990",40.9258,-121.5856,1130.8,67.8666666666667
"1990",40.9316,-121.5433,919,67.1666666666667
"1990",40.9466,-123.6363,141.4,72.5
"1990",41.075,-122.3733,731.5,74.0333333333333
"1990",41.14167,-123.13917,704.1,70
"1990",41.1831,-122.28167,661.1,69.0666666666667
"1990",41.24,-120.79,1886.7,56.6
"1990",41.25171,-122.13827,985.4,65.6333333333333
"1990",41.2706,-120.29845,1621.2,62.2666666666667
"1990",41.2769,-121.9794,975.4,63.7
"1990",41.3003,-123.1322,668.1,70.7
"1990",41.30206,-123.53851,122.8,69.8
"1990",41.3075,-122.7958,955.9,67.9333333333333
"1990",41.32175,-122.31725,1101.2,64.1333333333333
